timestamp,name,rssi
2013-05-25 10:08:19.362000,Mother,-82
2013-05-25 10:09:24.402000,Mother,-91
2013-05-25 10:10:18.497000,Mother,-82
2013-05-25 10:12:21.110000,Mother,-88
2013-05-25 10:13:18.623000,Mother,-87
2013-05-25 10:14:19.827000,Mother,-88
2013-05-25 10:15:18.012000,Mother,-85
2013-05-25 10:16:20.573000,Mother,-82
2013-05-25 10:17:22.170000,Mother,-83
2013-05-25 10:18:18.057000,Mother,-83
2013-05-25 10:19:20.680000,Mother,-86
2013-05-25 10:20:17.841000,Mother,-107
2013-05-25 10:20:21.620000,Mother,-78
2013-05-25 10:21:16.946000,Mother,-107
2013-05-25 10:22:17.542000,Mother,-80
2013-05-25 10:23:16.891000,Mother,-82
2013-05-25 10:24:23.121000,Mother,-79
2013-05-25 10:25:17.462000,Mother,-82
2013-05-25 10:26:14.786000,Mother,-86
2013-05-25 10:27:15.236000,Mother,-89
2013-05-25 10:28:17.780000,Mother,-84
2013-05-25 10:29:15.190000,Mother,-85
2013-05-25 10:30:14.641000,Mother,-87
2013-05-25 10:31:18.290000,Mother,-91
2013-05-25 10:32:17.308000,Mother,-85
2013-05-25 10:33:15.977000,Mother,-81
2013-05-25 10:34:16.712000,Mother,-85
2013-05-25 10:35:14.980000,Mother,-89
2013-05-25 10:36:17.219000,Mother,-81
2013-05-25 10:37:20.998000,Mother,-77
2013-05-25 10:38:17.473000,Mother,-88
2013-05-25 10:39:17.648000,Mother,-82
2013-05-25 10:40:39.615000,Mother,-80
2013-05-25 10:42:47.395000,Mother,-94
2013-05-25 10:43:41.129000,Mother,-95
2013-05-25 10:45:45.419000,Mother,-96
2013-05-25 10:46:42.670000,Mother,-94
2013-05-25 10:47:40.969000,Mother,-77
2013-05-25 10:50:01.843000,Mother,-90
2013-05-25 10:51:04.544000,Mother,-97
2013-05-25 10:52:04.704000,Mother,-93
2013-05-25 10:53:01.223000,Mother,-77
2013-05-25 10:54:02.971000,Mother,-91
2013-05-25 10:55:00.463000,Mother,-103
2013-05-25 10:56:24.288000,Mother,-85
2013-05-25 10:57:21.302000,Mother,-85
2013-05-25 10:58:23.053000,Mother,-93
2013-05-25 10:59:22.297000,Mother,-93
2013-05-25 11:00:24.632000,Mother,-96
2013-05-25 11:01:21.244000,Mother,-107
2013-05-25 11:02:27.329000,Mother,-84
2013-05-25 11:03:22.890000,Mother,-79
2013-05-25 11:04:22.650000,Mother,-83
2013-05-25 11:05:23.656000,Mother,-87
2013-05-25 11:06:26.062000,Mother,-89
2013-05-25 11:07:25.232000,Mother,-91
2013-05-25 11:08:22.480000,Mother,-93
2013-05-25 11:09:24.615000,Mother,-79
2013-05-25 11:10:21.185000,Mother,-80
2013-05-25 11:11:22.506000,Wave Y,-99
2013-05-25 11:11:26.916000,Mother,-87
2013-05-25 11:12:23.962000,Mother,-85
2013-05-25 11:13:23.050000,Mother,-87
2013-05-25 11:14:21.666000,Mother,-82
2013-05-25 11:15:24.779000,Wave Y,-99
2013-05-25 11:16:21.207000,Mother,-79
2013-05-25 11:16:24.119000,Wave Y,-98
2013-05-25 11:17:21.314000,Mother,-86
